PLAYER NAME             KILLS   DEATHS     KDR   PLAYED WITH CHAMPION(S)
HOTLyb                     24        6    4.00   Zed
Juna007                    24        6    4.00   Jinx
Mistbourne                 24        6    4.00   Jinx
iCeaser                    24        6    4.00   Kalista
Blunderball                20        5    4.00   Graves
Dayquil52                  20        5    4.00   Graves
FallenHound                20        5    4.00   Tryndamere
Neollusions                20        5    4.00   Graves
PaftDunk                   20        5    4.00   LeBlanc
XAnthonyA                  20        5    4.00   Fiora
Everhell                   16        4    4.00   Ezreal
GTOiAdrewIoah              16        4    4.00   Graves
GoblinSmut                 16        4    4.00   Syndra
HawaHawai                  16        4    4.00   Lucian
Killerrrr                  16        4    4.00   Quinn
Layf                       16        4    4.00   Wukong
MadBlast                   16        4    4.00   Malphite
TETHoRangE                 16        4    4.00   Irelia
trhmission89x              16        4    4.00   Caitlyn
windypoll                  16        4    4.00   Hecarim
6Pick                      12        3    4.00   Gragas
Arudagon                   12        3    4.00   Rek'Sai
